frame,elbow_y,shoulder_y,angle,reference_angle,deviation,smoothed_status,fps,hint,phase
1,583,415,163.48,150,13.48,False,0,,angle_logic
2,579,415,160.39,150,10.39,False,10,,angle_logic
3,578,415,158.76,150,8.76,False,33,,angle_logic
4,576,415,158.08,150,8.08,False,27,,angle_logic
5,574,414,156.47,150,6.47,False,39,,angle_logic
6,574,414,156.0,150,6.0,False,31,,angle_logic
7,573,414,155.8,150,5.8,False,35,,angle_logic
8,573,414,155.37,150,5.37,False,32,,angle_logic
9,572,413,155.8,150,5.8,False,32,,angle_logic
10,572,413,155.8,150,5.8,False,29,,angle_logic
11,572,413,156.17,150,6.17,False,21,,angle_logic
12,572,413,153.9,150,3.9,False,22,,angle_logic
13,572,413,154.21,150,4.21,False,21,,angle_logic
14,572,413,154.09,150,4.09,False,30,,angle_logic
15,572,413,154.09,150,4.09,False,31,,angle_logic
16,572,413,153.66,150,3.66,False,32,,angle_logic
17,572,414,154.29,150,4.29,False,30,,angle_logic
18,572,414,154.29,150,4.29,False,33,,angle_logic
19,573,414,155.88,150,5.88,False,29,,angle_logic
20,573,414,156.52,150,6.52,False,36,,angle_logic
21,573,414,156.96,150,6.96,False,28,,angle_logic
22,573,414,156.52,150,6.52,False,38,,angle_logic
23,573,414,156.52,150,6.52,False,29,,angle_logic
24,573,414,156.52,150,6.52,False,33,,angle_logic
25,573,414,156.2,150,6.2,False,32,,angle_logic
26,573,413,155.96,150,5.96,False,30,,angle_logic
27,573,413,155.96,150,5.96,False,32,,angle_logic
28,573,412,156.8,150,6.8,False,31,,angle_logic
29,572,412,156.69,150,6.69,False,32,,angle_logic
30,572,412,157.45,150,7.45,False,29,,angle_logic
31,572,412,157.65,150,7.65,False,31,,angle_logic
32,571,412,157.9,150,7.9,False,32,,angle_logic
33,571,412,158.23,150,8.23,False,32,,angle_logic
34,571,412,157.78,150,7.78,False,33,,angle_logic
35,571,411,158.33,150,8.33,False,31,,angle_logic
36,577,408,137.75,150,12.25,False,31,,angle_logic
37,577,408,148.41,150,1.59,False,32,,angle_logic
38,517,394,30.23,150,119.77,True,31,,angle_logic
39,517,388,18.57,150,131.43,True,31,,angle_logic
40,513,390,5.12,150,144.88,True,31,,angle_logic
41,513,392,2.95,150,147.05,True,30,,angle_logic
42,500,394,9.17,150,140.83,True,32,,angle_logic
43,483,397,16.41,150,133.59,True,32,,angle_logic
44,475,397,20.69,150,129.31,True,31,,angle_logic
45,473,397,21.58,150,128.42,True,31,,angle_logic
46,471,396,23.0,150,127.0,True,32,,angle_logic
47,467,394,25.6,150,124.4,True,31,,angle_logic
48,455,392,29.54,150,120.46,True,32,,angle_logic
49,445,388,31.47,150,118.53,True,32,,angle_logic
50,439,384,31.96,150,118.04,True,30,,angle_logic
51,436,381,31.82,150,118.18,True,31,,angle_logic
52,431,380,33.18,150,116.82,True,31,,angle_logic
53,422,380,37.04,150,112.96,True,33,,angle_logic
54,413,380,41.58,150,108.42,True,31,,angle_logic
55,395,379,49.36,150,100.64,True,31,,angle_logic
56,369,379,61.98,150,88.02,True,32,,angle_logic
57,344,379,77.43,150,72.57,True,31,,angle_logic
58,322,380,92.92,150,57.08,True,31,,angle_logic
59,308,380,105.46,150,44.54,True,31,,angle_logic
60,290,379,121.91,150,28.09,True,21,,angle_logic
61,287,379,126.39,150,23.61,True,31,,angle_logic
62,257,377,147.59,150,2.41,True,31,,angle_logic
63,239,376,157.11,150,7.11,True,30,,angle_logic
64,229,374,161.65,150,11.65,True,31,,angle_logic
65,226,374,165.71,150,15.71,True,32,,angle_logic
66,228,372,166.84,150,16.84,True,31,,angle_logic
67,215,371,168.69,150,18.69,True,30,,angle_logic
68,212,370,169.91,150,19.91,True,19,,angle_logic
