frame,elbow_y,shoulder_y,angle,reference_angle,deviation,smoothed_status,fps,hint,phase
1,576,417,0,150,0,False,0,,baseline
2,580,420,0,150,0,False,11,,baseline
3,584,422,0,150,0,False,35,,baseline
4,586,423,0,150,0,False,34,,baseline
5,587,424,0,150,0,False,26,,baseline
6,589,425,0,150,0,False,38,,baseline
7,589,425,0,150,0,False,43,,baseline
8,589,425,0,150,0,False,28,,baseline
9,589,425,0,150,0,False,29,,baseline
10,589,425,0,150,0,False,32,,baseline
11,589,425,0,150,0,False,31,,baseline
12,589,425,0,150,0,False,33,,baseline
13,589,426,0,150,0,False,31,,baseline
14,589,426,0,150,0,False,34,,baseline
15,589,426,0,150,0,False,29,,baseline
16,590,426,0,150,0,False,32,,baseline
17,590,426,0,150,0,False,33,,baseline
18,590,426,0,150,0,False,31,,baseline
19,590,425,0,150,0,False,32,,baseline
20,590,426,0,150,0,False,31,,baseline
21,589,426,0,150,0,False,32,,baseline
22,589,426,0,150,0,False,32,,baseline
23,589,426,0,150,0,False,32,,baseline
24,589,426,0,150,0,False,32,,baseline
25,589,425,0,150,0,False,32,,baseline
26,588,425,0,150,0,False,30,,baseline
27,587,425,0,150,0,False,31,,baseline
28,587,425,0,150,0,False,32,,baseline
29,586,424,0,150,0,False,34,,baseline
30,586,424,0,150,0,False,30,,baseline
31,586,424,0,150,0,False,33,,baseline
32,586,424,0,150,0,False,31,,baseline
33,585,424,0,150,0,False,32,,baseline
34,586,424,0,150,0,False,33,,baseline
35,586,424,0,150,0,False,31,,baseline
36,586,424,0,150,0,False,31,,baseline
37,585,424,0,150,0,False,32,,baseline
38,585,424,0,150,0,False,32,,baseline
39,585,424,0,150,0,False,30,,baseline
40,585,423,0,150,0,False,31,,baseline
41,584,423,0,150,0,False,34,,baseline
42,584,423,0,150,0,False,32,,baseline
43,584,423,0,150,0,False,30,,baseline
44,584,423,0,150,0,False,31,,baseline
45,584,424,0,150,0,False,32,,baseline
46,584,424,0,150,0,False,30,,baseline
47,584,424,0,150,0,False,31,,baseline
