frame,elbow_y,shoulder_y,angle,reference_angle,deviation,smoothed_status,fps,hint,phase
1,585,418,154.64,150,4.64,False,0,,shoulder_logic
2,580,418,155.29,150,5.29,False,10,,shoulder_logic
3,578,418,155.58,150,5.58,False,39,,shoulder_logic
4,577,418,155.25,150,5.25,False,25,,shoulder_logic
5,577,418,154.84,150,4.84,False,33,,shoulder_logic
6,576,418,155.06,150,5.06,False,33,,shoulder_logic
7,576,418,153.6,150,3.6,False,35,,shoulder_logic
8,576,418,152.47,150,2.47,False,30,,shoulder_logic
9,576,418,152.16,150,2.16,False,29,,shoulder_logic
10,575,418,150.9,150,0.9,False,26,,shoulder_logic
11,575,418,150.9,150,0.9,False,41,,shoulder_logic
12,576,419,150.9,150,0.9,False,33,,shoulder_logic
13,576,420,150.45,150,0.45,False,27,,shoulder_logic
14,576,419,150.38,150,0.38,False,38,,shoulder_logic
15,576,419,149.36,150,0.64,False,32,,shoulder_logic
16,576,419,149.66,150,0.34,False,32,,shoulder_logic
17,576,419,149.61,150,0.39,False,31,,shoulder_logic
18,575,418,149.57,150,0.43,False,30,,shoulder_logic
19,574,417,150.6,150,0.6,False,31,,shoulder_logic
20,574,416,151.1,150,1.1,False,31,,shoulder_logic
21,579,416,151.95,150,1.95,False,35,,shoulder_logic
22,579,413,152.74,150,2.74,False,33,,shoulder_logic
23,566,402,27.98,150,122.02,False,31,,shoulder_logic
24,579,396,21.1,150,128.9,False,32,,shoulder_logic
25,587,393,13.94,150,136.06,True,32,,shoulder_logic
26,586,389,9.3,150,140.7,True,29,,shoulder_logic
27,584,391,5.26,150,144.74,True,31,,shoulder_logic
28,579,391,2.51,150,147.49,True,34,,shoulder_logic
29,570,392,0.69,150,149.31,True,32,,shoulder_logic
30,535,393,4.33,150,145.67,True,33,,shoulder_logic
31,521,393,8.35,150,141.65,True,30,,shoulder_logic
32,514,394,11.05,150,138.95,True,32,,shoulder_logic
33,508,394,13.89,150,136.11,True,32,,shoulder_logic
34,492,393,18.73,150,131.27,True,31,,shoulder_logic
35,486,391,21.41,150,128.59,True,32,,shoulder_logic
36,481,391,23.84,150,126.16,True,29,,shoulder_logic
37,478,391,25.64,150,124.36,True,32,,shoulder_logic
38,476,391,26.83,150,123.17,True,32,,shoulder_logic
39,461,391,31.03,150,118.97,True,31,,shoulder_logic
