frame,elbow_y,shoulder_y,angle,reference_angle,deviation,smoothed_status,fps,hint,phase
1,573,417,160.58,150,10.58,False,0,,smoothing
2,577,418,158.65,150,8.65,False,10,,smoothing
3,579,418,155.86,150,5.86,False,39,,smoothing
4,581,418,154.85,150,4.85,False,29,,smoothing
5,582,418,153.88,150,3.88,False,42,,smoothing
6,584,420,152.25,150,2.25,False,25,,smoothing
7,584,421,151.99,150,1.99,False,42,,smoothing
8,584,421,152.3,150,2.3,False,26,,smoothing
9,584,421,152.3,150,2.3,False,32,,smoothing
10,584,421,151.55,150,1.55,False,28,,smoothing
11,584,421,151.8,150,1.8,False,33,,smoothing
12,584,421,151.8,150,1.8,False,28,,smoothing
13,584,421,151.86,150,1.86,False,37,,smoothing
14,584,422,152.5,150,2.5,False,34,,smoothing
15,584,422,152.55,150,2.55,False,32,,smoothing
16,584,423,152.49,150,2.49,False,32,,smoothing
17,585,423,152.61,150,2.61,False,30,,smoothing
18,585,423,152.3,150,2.3,False,33,,smoothing
19,585,424,151.92,150,1.92,False,31,,smoothing
20,585,423,150.99,150,0.99,False,33,,smoothing
21,584,423,150.62,150,0.62,False,30,,smoothing
22,588,422,146.45,150,3.55,False,31,,smoothing
23,588,421,148.73,150,1.27,False,33,,smoothing
24,572,403,20.45,150,129.55,False,31,,smoothing
25,544,381,12.55,150,137.45,False,30,,smoothing
26,546,387,2.82,150,147.18,True,30,,smoothing
27,515,392,14.54,150,135.46,True,33,,smoothing
28,479,396,25.55,150,124.45,True,29,,smoothing
29,448,397,35.45,150,114.55,True,30,,smoothing
30,419,393,45.61,150,104.39,True,30,,smoothing
31,386,388,55.58,150,94.42,True,39,,smoothing
32,359,385,65.78,150,84.22,True,30,,smoothing
33,334,380,73.8,150,76.2,True,32,,smoothing
34,314,376,81.45,150,68.55,True,32,,smoothing
35,298,374,90.37,150,59.63,True,32,,smoothing
36,285,375,101.51,150,48.49,True,32,,smoothing
37,276,375,113.26,150,36.74,True,31,,smoothing
38,265,372,120.15,150,29.85,True,32,,smoothing
39,253,372,129.13,150,20.87,True,32,,smoothing
40,236,371,141.4,150,8.6,True,31,,smoothing
41,227,368,148.03,150,1.97,True,31,,smoothing
42,222,366,152.46,150,2.46,True,31,,smoothing
43,212,365,157.66,150,7.66,True,29,,smoothing
44,209,364,159.72,150,9.72,True,33,,smoothing
45,207,364,163.7,150,13.7,True,29,,smoothing
46,206,364,165.26,150,15.26,True,33,,smoothing
47,211,366,164.55,150,14.55,True,31,,smoothing
48,205,366,163.78,150,13.78,True,29,,smoothing
49,212,369,162.84,150,12.84,True,32,,smoothing
50,215,371,161.62,150,11.62,True,32,,smoothing
51,228,374,147.77,150,2.23,True,20,,smoothing
52,260,378,130.74,150,19.26,True,30,,smoothing
53,285,381,116.35,150,33.65,True,30,,smoothing
54,316,385,101.45,150,48.55,True,32,,smoothing
55,341,390,87.09,150,62.91,True,32,,smoothing
56,364,396,74.3,150,75.7,True,31,,smoothing
57,383,398,64.12,150,85.88,True,27,,smoothing
58,399,398,54.64,150,95.36,True,31,,smoothing
59,414,398,46.09,150,103.91,True,31,,smoothing
60,433,400,38.19,150,111.81,True,33,,smoothing
61,453,404,31.22,150,118.78,True,30,,smoothing
62,463,409,28.2,150,121.8,True,32,,smoothing
63,474,415,26.02,150,123.98,True,18,,smoothing
64,476,421,26.32,150,123.68,True,36,,smoothing
65,471,419,23.9,150,126.1,True,33,,smoothing
66,471,418,23.73,150,126.27,True,30,,smoothing
67,470,417,24.17,150,125.83,True,32,,smoothing
68,469,417,24.3,150,125.7,True,30,,smoothing
69,466,417,26.16,150,123.84,True,32,,smoothing
70,449,413,28.5,150,121.5,True,30,,smoothing
71,428,407,35.54,150,114.46,True,32,,smoothing
72,410,406,45.31,150,104.69,True,31,,smoothing
73,392,402,53.27,150,96.73,True,28,,smoothing
74,364,397,63.11,150,86.89,True,28,,smoothing
75,336,393,76.54,150,73.46,True,23,,smoothing
76,322,388,84.34,150,65.66,True,27,,smoothing
77,307,385,93.14,150,56.86,True,33,,smoothing
78,293,382,104.33,150,45.67,True,30,,smoothing
79,281,379,113.88,150,36.12,True,32,,smoothing
80,271,379,124.56,150,25.44,True,31,,smoothing
81,256,378,134.63,150,15.37,True,31,,smoothing
82,244,378,140.7,150,9.3,True,30,,smoothing
83,236,377,142.35,150,7.65,True,31,,smoothing
84,239,377,144.1,150,5.9,True,32,,smoothing
85,242,377,144.77,150,5.23,True,31,,smoothing
86,242,378,145.68,150,4.32,True,31,,smoothing
87,232,378,146.58,150,3.42,True,20,,smoothing
88,232,378,146.3,150,3.7,True,29,,smoothing
89,234,378,145.76,150,4.24,True,28,,smoothing
90,235,379,144.55,150,5.45,True,31,,smoothing
91,256,381,136.88,150,13.12,True,32,,smoothing
92,280,387,126.35,150,23.65,True,32,,smoothing
93,304,391,115.0,150,35.0,True,31,,smoothing
94,335,392,98.97,150,51.03,True,32,,smoothing
95,360,392,83.64,150,66.36,True,31,,smoothing
96,386,397,69.98,150,80.02,True,31,,smoothing
97,403,398,59.15,150,90.85,True,31,,smoothing
98,419,400,50.48,150,99.52,True,31,,smoothing
99,437,404,43.54,150,106.46,True,30,,smoothing
100,453,408,38.14,150,111.86,True,21,,smoothing
101,460,411,35.43,150,114.57,True,30,,smoothing
102,468,412,33.09,150,116.91,True,32,,smoothing
103,465,414,34.43,150,115.57,True,26,,smoothing
